code,valid intentions,gpt intentions
"public void setDateFilter() {
        Blog blog = WordPress.getCurrentBlog();

        if (blog == null)
            return;

        String blogId = String.valueOf(blog.getBlogId());

        GregorianCalendar startDate = new GregorianCalendar(mStartYear, mStartMonth, mStartDay);
        GregorianCalendar endDate = new GregorianCalendar(mEndYear, mEndMonth, mEndDay);

        long one_day = 24 * 60 * 60 * 1000;
        Cursor cursor = WordPress.wpDB.getMediaFilesForBlog(blogId, startDate.getTimeInMillis(), endDate.getTimeInMillis() + one_day);
        mGridAdapter.changeCursor(cursor);

        if (cursor != null && cursor.moveToFirst()) {
            mResultView.setVisibility(View.VISIBLE);

            SimpleDateFormat fmt = new SimpleDateFormat(""dd-MMM-yyyy"");
            fmt.setCalendar(startDate);
            String formattedStart = fmt.format(startDate.getTime());
            String formattedEnd = fmt.format(endDate.getTime());

            mResultView.setText(""Displaying media from "" + formattedStart + "" to "" + formattedEnd);
        } else {

            mResultView.setVisibility(View.VISIBLE);
            mResultView.setText(getResources().getString(R.string.empty_fields));

        }
    }","[('13', 'acquire', 'cursor'), ('16', 'check', 'cursor')]","[(4, 'check', 'blog', 'Blog'), (13, 'acquire', 'cursor', 'Cursor')]"
"public void reset() {
        mCheckedItems.clear();
        mGridView.setSelection(0);
        mGridView.requestFocusFromTouch();
        mGridView.setSelection(0);
        mGridAdapter.swapCursor(null);

        resetSpinnerAdapter();
        
        
        mHasRetrievedAllMedia = false;
    }","[('6', 'acquire', 'cursor')]",[]
"public void reset() {
        mCheckedItems.clear();
        mGridView.setSelection(0);
        mGridView.requestFocusFromTouch();
        mGridView.setSelection(0);
        mGridAdapter.changeCursor(null);

        resetSpinnerAdapter();
        
        
        mHasRetrievedAllMedia = false;
    }",[],[]
"    @Override
    public void onLoadFinished(Loader<Cursor> loader, Cursor data) {
        mCallback.onCursorLoaded(getUri(), data);
        if (mAdapter != null)
            mAdapter.swapCursor(data);
        configureEmptyLabel();
        if (isTablet()) {
            reloadLinearLayout();
        }
    }
","[('4', 'acquire', 'Cursor')]","[(3, 'check', 'mAdapter', 'mAdapter')]"
"    @Override
    public void onLoadFinished(Loader<Cursor> loader, Cursor data) {
        mCallback.onCursorLoaded(getUri(), data);
        if (mAdapter != null)
            mAdapter.changeCursor(data);
        configureEmptyLabel();
        if (isTablet()) {
            reloadLinearLayout();
        }
    }
",[],"[(3, 'check', 'mAdapter', 'mAdapter')]"
"    @Override
    public void onLoaderReset(Loader<Cursor> loader) {
        if (mAdapter != null)
            mAdapter.swapCursor(null);
        configureEmptyLabel();
        if (isTablet()) {
            reloadLinearLayout();
        }
    }
","[('3', 'acquire', 'Cursor')]","[(2, 'check', 'mAdapter', 'mAdapter')]"
"    @Override
    public void onLoaderReset(Loader<Cursor> loader) {
        if (mAdapter != null)
            mAdapter.changeCursor(null);
        configureEmptyLabel();
        if (isTablet()) {
            reloadLinearLayout();
        }
    }
",[],"[(2, 'check', 'mAdapter', 'mAdapter')]"
"public void search(String searchTerm) {
        mLastSearch = searchTerm;
        
        String blogId = getBlogId();
        Cursor cursor =  WordPress.wpDB.getThemes(blogId, searchTerm);
        if (mAdapter == null) {
            return;
        } else {   
            mAdapter.swapCursor(cursor);   
            mGridView.invalidateViews();
            
            if (cursor == null || cursor.getCount() == 0) {
                mNoResultText.setVisibility(View.VISIBLE);
            } else {
                mNoResultText.setVisibility(View.GONE);
            }
        }             
    }","[('5', 'acquire', 'Cursor'), ('9', 'acquire', 'Cursor'), ('9', 'release', 'Cursor'), ('12', 'check', 'Cursor')]","[(5, 'acquire', 'cursor', 'Cursor'), (6, 'check', 'mAdapter', 'mAdapter')]"
"public void search(String searchTerm) {
        mLastSearch = searchTerm;
        
        String blogId = getBlogId();
        Cursor cursor =  WordPress.wpDB.getThemes(blogId, searchTerm);
        if (mAdapter == null) {
            return;
        } else {   
            mAdapter.changeCursor(cursor);   
            mGridView.invalidateViews();
            
            if (cursor == null || cursor.getCount() == 0) {
                mNoResultText.setVisibility(View.VISIBLE);
            } else {
                mNoResultText.setVisibility(View.GONE);
            }
        }             
    }","[('5', 'acquire', 'Cursor'), ('9', 'release', 'Cursor'), ('12', 'check', 'Cursor')]","[(5, 'acquire', 'cursor', 'Cursor'), (6, 'check', 'mAdapter', 'mAdapter')]"
"    private void refresh() {
        Cursor cursor = fetchThemes(getThemeSortType());
        if (mAdapter == null) {
            mAdapter = new ThemeTabAdapter(getActivity(), cursor, false);
        }
        
        if (mNoResultText.isShown())
            mNoResultText.setVisibility(View.GONE);
        mAdapter.swapCursor(cursor);
    }
","[('2', 'acquire', 'Cursor'), ('9', 'acquire', 'Cursor'), ('9', 'release', 'Cursor')]","[(2, 'acquire', 'cursor', 'Cursor'), (3, 'check', 'mAdapter', 'mAdapter')]"
"    private void refresh() {
        Cursor cursor = fetchThemes(getThemeSortType());
        if (mAdapter == null) {
            mAdapter = new ThemeTabAdapter(getActivity(), cursor, false);
        }
        
        if (mNoResultText.isShown())
            mNoResultText.setVisibility(View.GONE);
        mAdapter.changeCursor(cursor);
    }
","[('2', 'acquire', 'Cursor'), ('9', 'release', 'Cursor')]","[(2, 'acquire', 'cursor', 'Cursor'), (3, 'check', 'mAdapter', 'mAdapter')]"
"public static FileInfo getFileInfoFromURI(Context aContext, Uri uri) throws IllegalArgumentException {
        FileInfo info = new FileInfo();
        if (uri.getScheme() != null && uri.getScheme().equals(""file"")) {
            info.path = uri.getPath();
            return info;
        }
        
        if (uri.toString().startsWith(""content://org.openintents.filemanager/"")) {
            // Work around URI escaping brokenness
            info.path = uri.toString().replaceFirst(""content://org.openintents.filemanager"", """");
            return info;
        }
        
        Cursor cursor = aContext.getContentResolver().query(uri, null, null, null, null);
        
        if (cursor != null && cursor.getCount() > 0)
        {
            cursor.moveToFirst();
            
            //need to check columns for different types
            int dataIdx = cursor.getColumnIndex(MediaStore.Images.Media.DATA);
            if (dataIdx != -1) 
            {
                info.path = cursor.getString(dataIdx);
                info.type = cursor.getString(cursor.getColumnIndexOrThrow(MediaStore.Images.Media.MIME_TYPE));
            
            }
            else
            {
                dataIdx = cursor.getColumnIndex(MediaStore.Video.Media.DATA);
            
                if (dataIdx != -1)
                {
                    info.path = cursor.getString(dataIdx);
                    info.type = cursor.getString(cursor.getColumnIndexOrThrow(MediaStore.Video.Media.MIME_TYPE));
                }
                else
                {
                    dataIdx = cursor.getColumnIndex(MediaStore.Audio.Media.DATA);
            
                    if (dataIdx != -1)
                    {
                        info.path = cursor.getString(dataIdx);
                        info.type = cursor.getString(cursor.getColumnIndexOrThrow(MediaStore.Audio.Media.MIME_TYPE));
                    }
                    else
                    {
                        dataIdx = cursor.getColumnIndex(MediaStore.MediaColumns.DATA);
                
                        if (dataIdx != -1)
                        {
                            info.path = cursor.getString(dataIdx);
                            info.type = cursor.getString(cursor.getColumnIndexOrThrow(MediaStore.MediaColumns.MIME_TYPE));
                          
                        }
                    }
                }
                
                cursor.close();
            }
        }
        
        return info;
    }","[('14', 'acquire', 'cursor'), ('16', 'check', 'cursor'), ('59', 'release', 'cursor')]","[(14, 'acquire', 'cursor', 'Cursor'), (16, 'check', 'cursor', 'Cursor'), (22, 'check', 'cursor', 'Cursor'), (32, 'check', 'cursor', 'Cursor'), (41, 'check', 'cursor', 'Cursor'), (50, 'check', 'cursor', 'Cursor'), (59, 'release', 'cursor', 'Cursor')]"
"public static FileInfo getFileInfoFromURI(Context aContext, Uri uri) throws IllegalArgumentException {
        FileInfo info = new FileInfo();
        if (uri.getScheme() != null && uri.getScheme().equals(""file"")) {
            info.path = uri.getPath();
            return info;
        }
        
        if (uri.toString().startsWith(""content://org.openintents.filemanager/"")) {
            // Work around URI escaping brokenness
            info.path = uri.toString().replaceFirst(""content://org.openintents.filemanager"", """");
            return info;
        }
        
        Cursor cursor = aContext.getContentResolver().query(uri, null, null, null, null);
        
        if (cursor != null && cursor.getCount() > 0)
        {
            cursor.moveToFirst();
            
            //need to check columns for different types
            int dataIdx = cursor.getColumnIndex(MediaStore.Images.Media.DATA);
            if (dataIdx != -1) 
            {
                info.path = cursor.getString(dataIdx);
                info.type = cursor.getString(cursor.getColumnIndexOrThrow(MediaStore.Images.Media.MIME_TYPE));
            
            }
            else
            {
                dataIdx = cursor.getColumnIndex(MediaStore.Video.Media.DATA);
            
                if (dataIdx != -1)
                {
                    info.path = cursor.getString(dataIdx);
                    info.type = cursor.getString(cursor.getColumnIndexOrThrow(MediaStore.Video.Media.MIME_TYPE));
                }
                else
                {
                    dataIdx = cursor.getColumnIndex(MediaStore.Audio.Media.DATA);
            
                    if (dataIdx != -1)
                    {
                        info.path = cursor.getString(dataIdx);
                        info.type = cursor.getString(cursor.getColumnIndexOrThrow(MediaStore.Audio.Media.MIME_TYPE));
                    }
                    else
                    {
                        dataIdx = cursor.getColumnIndex(MediaStore.MediaColumns.DATA);
                
                        if (dataIdx != -1)
                        {
                            info.path = cursor.getString(dataIdx);
                            info.type = cursor.getString(cursor.getColumnIndexOrThrow(MediaStore.MediaColumns.MIME_TYPE));
                          
                        }
                    }
                }
                
               
            }
        }
        
        if (cursor != null)
            cursor.close();
        
        return info;
    }","[('14', 'acquire', 'cursor'), ('16', 'check', 'cursor'), ('63', 'check', 'cursor'), ('64', 'release', 'cursor')]","[(14, 'acquire', 'cursor', 'Cursor'), (63, 'check', 'cursor', 'Cursor'), (64, 'release', 'cursor', 'Cursor')]"
"public void bindChat(long chatId) {
        log(""bind "" + this + "" "" + chatId);
        mLastChatId = chatId;
        
        Uri contactUri = ContentUris.withAppendedId(Imps.Contacts.CONTENT_URI, chatId);
        mCursor = mActivity.getContentResolver().query(contactUri, CHAT_PROJECTION, null, null, null);
        
        if (mCursor == null)
            return;
        
        if (!mCursor.moveToFirst()) {
            if (Log.isLoggable(ImApp.LOG_TAG, Log.DEBUG)) {
                log(""Failed to query chat: "" + chatId);
            }
            mLastChatId = -1;
        } else {
        
            updateContactInfo();
            
            mCurrentChatSession = getChatSession();
            
            if (mCurrentChatSession == null)
                mCurrentChatSession = createChatSession();
            
            if (mCurrentChatSession != null) {
                isServiceUp = true;
                
            }
            
            updateChat();
        }

    }","[('6', 'acquire', 'mCursor'), ('8', 'check', 'mCursor')]","[(6, 'acquire', 'mCursor', 'mCursor'), (8, 'check', 'mCursor', 'mCursor'), (11, 'check', 'mCursor', 'mCursor'), (20, 'acquire', 'mCurrentChatSession', 'mCurrentChatSession'), (22, 'check', 'mCurrentChatSession', 'mCurrentChatSession'), (23, 'acquire', 'mCurrentChatSession', 'mCurrentChatSession'), (25, 'check', 'mCurrentChatSession', 'mCurrentChatSession')]"
"public void bindChat(long chatId) {
        log(""bind "" + this + "" "" + chatId);
        mLastChatId = chatId;
        
        if (mCursor != null && !mCursor.isClosed())
            mCursor.close();
        
        Uri contactUri = ContentUris.withAppendedId(Imps.Contacts.CONTENT_URI, chatId);
        mCursor = mActivity.getContentResolver().query(contactUri, CHAT_PROJECTION, null, null, null);
        
        if (mCursor == null)
            return;
        
        if (!mCursor.moveToFirst()) {
            if (Log.isLoggable(ImApp.LOG_TAG, Log.DEBUG)) {
                log(""Failed to query chat: "" + chatId);
            }
            mLastChatId = -1;
        } else {
        
            updateContactInfo();
            
            mCurrentChatSession = getChatSession();
            
            if (mCurrentChatSession == null)
                mCurrentChatSession = createChatSession();
            
            if (mCurrentChatSession != null) {
                isServiceUp = true;
                
            }
            
            updateChat();
        }

    }","[('5', 'check', 'mCursor'), ('6', 'release', 'mCursor'), ('9', 'acquire', 'mCursor')]","[(5, 'check', 'mCursor', 'mCursor'), (6, 'release', 'mCursor', 'mCursor'), (9, 'acquire', 'mCursor', 'mCursor'), (11, 'check', 'mCursor', 'mCursor'), (25, 'check', 'mCurrentChatSession', 'mCurrentChatSession'), (26, 'acquire', 'mCurrentChatSession', 'mCurrentChatSession'), (28, 'check', 'mCurrentChatSession', 'mCurrentChatSession')]"
"public List<SearchSite> getAvailableSites() {

		// Try to access the TorrentSitesProvider of the Torrent Search app
		Uri uri = Uri.parse(""content://org.transdroid.search.torrentsitesprovider/sites"");
		ContentProviderClient test = context.getContentResolver().acquireContentProviderClient(uri);
		if (test == null) {
			// Torrent Search package is not yet installed
			return null;
		}

		// Query the available in-app torrent search sites
		Cursor cursor = context.getContentResolver().query(uri, null, null, null, null);
		if (cursor == null) {
			// The installed Torrent Search version is corrupt or incompatible
			return null;
		}
		if (cursor.moveToFirst()) {
			List<SearchSite> sites = new ArrayList<SearchSite>();
			do {
				// Read the cursor fields into the SearchSite object
				sites.add(new SearchSite(cursor.getInt(CURSOR_SITE_ID), cursor.getString(CURSOR_SITE_CODE), cursor
						.getString(CURSOR_SITE_NAME), cursor.getString(CURSOR_SITE_RSSURL),
						cursor.getColumnNames().length > 4 ? (cursor.getInt(CURSOR_SITE_ISPRIVATE) == 1 ? true : false)
								: false));
			} while (cursor.moveToNext());
			cursor.close();
			return sites;
		}

		return null;

	}","[('5', 'acquire', 'ContentProviderClient'), ('6', 'check', 'ContentProviderClient'), ('12', 'acquire', 'Cursor'), ('13', 'check', 'Cursor'), ('26', 'release', 'Cursor')]","[(5, 'acquire', 'test', 'ContentProviderClient'), (6, 'check', 'test', 'ContentProviderClient'), (12, 'acquire', 'cursor', 'Cursor'), (13, 'check', 'cursor', 'Cursor'), (17, 'check', 'cursor', 'Cursor'), (26, 'release', 'cursor', 'Cursor')]"
"public List<SearchSite> getAvailableSites() {

		// Try to access the TorrentSitesProvider of the Torrent Search app
		Uri uri = Uri.parse(""content://org.transdroid.search.torrentsitesprovider/sites"");
		ContentProviderClient test = context.getContentResolver().acquireContentProviderClient(uri);
		if (test == null) {
			// Torrent Search package is not yet installed
			return null;
		}

		// Query the available in-app torrent search sites
		Cursor cursor = context.getContentResolver().query(uri, null, null, null, null);
		if (cursor == null) {
			// The installed Torrent Search version is corrupt or incompatible
			return null;
		}
		List<SearchSite> sites = new ArrayList<>();
		if (cursor.moveToFirst()) {
			do {
				// Read the cursor fields into the SearchSite object
				sites.add(new SearchSite(cursor.getInt(CURSOR_SITE_ID), cursor.getString(CURSOR_SITE_CODE), cursor
						.getString(CURSOR_SITE_NAME), cursor.getString(CURSOR_SITE_RSSURL),
						cursor.getColumnNames().length > 4 && cursor.getInt(CURSOR_SITE_ISPRIVATE) == 1));
			} while (cursor.moveToNext());
		}

		cursor.close();
		return sites;

	}","[('5', 'acquire', 'ContentProviderClient'), ('6', 'check', 'ContentProviderClient'), ('12', 'acquire', 'Cursor'), ('13', 'check', 'Cursor'), ('27', 'release', 'Cursor')]","[(5, 'acquire', 'test', 'ContentProviderClient'), (6, 'check', 'test', 'ContentProviderClient'), (12, 'acquire', 'cursor', 'Cursor'), (13, 'check', 'cursor', 'Cursor'), (27, 'release', 'cursor', 'Cursor')]"
"public ArrayList<SearchResult> search(String query, SearchSite site, SearchSortOrder sortBy) {
  // Try to query the TorrentSearchProvider to search for torrents on the web
  Uri uri = Uri.parse(""content://org.transdroid.search.torrentsearchprovider/search/"" + query);
  Cursor cursor;
  if (site == null) {
   // If no explicit site was supplied, rely on the Torrent Search package's default
   cursor = context.getContentResolver().query(uri, null, null, null, sortBy.name());
  } else {
   cursor = context.getContentResolver().query(uri, null, ""SITE = ?"", new String[] { site.getKey() },
     sortBy.name());
  }
  if (cursor == null) {
   // The content provider could not load any content (for example when there is no connection)
   return null;
  }
  if (cursor.moveToFirst()) {
   ArrayList<SearchResult> results = new ArrayList<SearchResult>();
   do {
    // Read the cursor fields into the SearchResult object
    results.add(new SearchResult(cursor.getInt(CURSOR_SEARCH_ID), cursor.getString(CURSOR_SEARCH_NAME),
      cursor.getString(CURSOR_SEARCH_TORRENTURL), cursor.getString(CURSOR_SEARCH_DETAILSURL), cursor
        .getString(CURSOR_SEARCH_SIZE), cursor.getLong(CURSOR_SEARCH_ADDED), cursor
        .getString(CURSOR_SEARCH_SEEDERS), cursor.getString(CURSOR_SEARCH_LEECHERS)));
   } while (cursor.moveToNext());
   cursor.close();
   return results;
  }

  // Torrent Search package is not yet installed

  return null;

 }
","[('7', 'acquire', 'cursor'), ('9', 'acquire', 'cursor'), ('12', 'check', 'cursor'), ('25', 'release', 'cursor')]","[(5, 'check', 'site', 'SearchSite'), (7, 'acquire', 'cursor', 'Cursor'), (9, 'acquire', 'cursor', 'Cursor'), (12, 'check', 'cursor', 'Cursor'), (16, 'check', 'cursor', 'Cursor'), (25, 'release', 'cursor', 'Cursor')]"
"	public ArrayList<SearchResult> search(String query, SearchSite site, SearchSortOrder sortBy) {

		// Try to query the TorrentSearchProvider to search for torrents on the web
		Uri uri = Uri.parse(""content://org.transdroid.search.torrentsearchprovider/search/"" + query);
		Cursor cursor;
		if (site == null) {
			// If no explicit site was supplied, rely on the Torrent Search package's default
			cursor = context.getContentResolver().query(uri, null, null, null, sortBy.name());
		} else {
			cursor = context.getContentResolver().query(uri, null, ""SITE = ?"", new String[] { site.getKey() },
					sortBy.name());
		}
		if (cursor == null) {
			// The content provider could not load any content (for example when there is no connection)
			return null;
		}
		if (cursor.moveToFirst()) {
			ArrayList<SearchResult> results = new ArrayList<>();
			do {
				// Read the cursor fields into the SearchResult object
				results.add(new SearchResult(cursor.getInt(CURSOR_SEARCH_ID), cursor.getString(CURSOR_SEARCH_NAME),
						cursor.getString(CURSOR_SEARCH_TORRENTURL), cursor.getString(CURSOR_SEARCH_DETAILSURL), cursor
								.getString(CURSOR_SEARCH_SIZE), cursor.getLong(CURSOR_SEARCH_ADDED), cursor
								.getString(CURSOR_SEARCH_SEEDERS), cursor.getString(CURSOR_SEARCH_LEECHERS)));
			} while (cursor.moveToNext());
			cursor.close();
			return results;
		}

		// Torrent Search package is not yet installed
		cursor.close();
		return null;

	}
","[('8', 'acquire', 'cursor'), ('10', 'acquire', 'cursor'), ('13', 'check', 'cursor'), ('26', 'release', 'cursor'), ('31', 'release', 'cursor')]","[(6, 'check', 'site', 'SearchSite'), (8, 'acquire', 'cursor', 'Cursor'), (10, 'acquire', 'cursor', 'Cursor'), (13, 'check', 'cursor', 'Cursor'), (17, 'check', 'cursor', 'Cursor'), (26, 'release', 'cursor', 'Cursor'), (31, 'release', 'cursor', 'Cursor')]"
"public ArrayList<Phone> getPhoneNumbers(Context ctxt, String id) {
   ArrayList<Phone> phones = new ArrayList<Phone>();
   
   Cursor pCur = ctxt.getContentResolver().query(
     ContactsContract.CommonDataKinds.Phone.CONTENT_URI, 
     null, 
     ContactsContract.CommonDataKinds.Phone.CONTACT_ID +"" = ?"", 
     new String[]{id}, null);
   while (pCur.moveToNext()) {
    phones.add(new Phone(pCur.getString(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Phone.NUMBER)), 
      pCur.getString(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Phone.TYPE))
    ));
 
   } 
   pCur.close();
   // Add any custom IM named 'sip' and set its type to 'sip'
        pCur = ctxt.getContentResolver().query(
                ContactsContract.Data.CONTENT_URI, 
                null, 
                ContactsContract.Data.CONTACT_ID + "" = ? AND "" + ContactsContract.Data.MIMETYPE + "" = ?"",
                new String[]{id, ContactsContract.CommonDataKinds.Im.CONTENT_ITEM_TYPE}, null);
        while (pCur.moveToNext()) {
            // Could also use some other IM type but may be confusing. Are there phones with no 'custom' IM type?
            if (pCur.getInt(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Im.PROTOCOL)) == ContactsContract.CommonDataKinds.Im.PROTOCOL_CUSTOM) {
                if (pCur.getString(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Im.CUSTOM_PROTOCOL)).equalsIgnoreCase(""sip"")) {
                    phones.add(new Phone(pCur.getString(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Im.DATA)), ""sip""));
                }
            }
                
        } 
        pCur.close();
        
        // Add any SIP uri if android 9
        if(Compatibility.isCompatible(9)) {
          pCur = ctxt.getContentResolver().query(
                     ContactsContract.Data.CONTENT_URI, 
                     null, 
                     ContactsContract.Data.CONTACT_ID + "" = ? AND "" + ContactsContract.Data.MIMETYPE + "" = ?"",
                     new String[]{id, GINGER_SIP_TYPE}, null);
             while (pCur.moveToNext()) {
                 // Could also use some other IM type but may be confusing. Are there phones with no 'custom' IM type?
              phones.add(new Phone(pCur.getString(pCur.getColumnIndex(ContactsContract.Data.DATA1)), ""sip""));
             } 
        }

   return(phones);
  }","[('4', 'acquire', 'Cursor'), ('15', 'release', 'Cursor'), ('17', 'acquire', 'Cursor'), ('31', 'release', 'Cursor'), ('35', 'acquire', 'Cursor')]","[(4, 'acquire', 'pCur', 'Cursor'), (15, 'release', 'pCur', 'Cursor'), (17, 'acquire', 'pCur', 'Cursor'), (31, 'release', 'pCur', 'Cursor'), (35, 'acquire', 'pCur', 'Cursor')]"
"public ArrayList<Phone> getPhoneNumbers(Context ctxt, String id) {
 		ArrayList<Phone> phones = new ArrayList<Phone>();
 		
 		Cursor pCur = ctxt.getContentResolver().query(
 				ContactsContract.CommonDataKinds.Phone.CONTENT_URI, 
 				null, 
 				ContactsContract.CommonDataKinds.Phone.CONTACT_ID +"" = ?"", 
 				new String[]{id}, null);
 		while (pCur.moveToNext()) {
 			phones.add(new Phone(pCur.getString(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Phone.NUMBER)), 
 					pCur.getString(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Phone.TYPE))
 			));
 
 		} 
 		pCur.close();

 		// Add any custom IM named 'sip' and set its type to 'sip'
        pCur = ctxt.getContentResolver().query(
                ContactsContract.Data.CONTENT_URI, 
                null, 
                ContactsContract.Data.CONTACT_ID + "" = ? AND "" + ContactsContract.Data.MIMETYPE + "" = ?"",
                new String[]{id, ContactsContract.CommonDataKinds.Im.CONTENT_ITEM_TYPE}, null);
        while (pCur.moveToNext()) {
            // Could also use some other IM type but may be confusing. Are there phones with no 'custom' IM type?
            if (pCur.getInt(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Im.PROTOCOL)) == ContactsContract.CommonDataKinds.Im.PROTOCOL_CUSTOM) {
                if (pCur.getString(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Im.CUSTOM_PROTOCOL)).equalsIgnoreCase(""sip"")) {
                    phones.add(new Phone(pCur.getString(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Im.DATA)), ""sip""));
                }
            }
                
        } 
        pCur.close();
        
        // Add any SIP uri if android 9
        if(Compatibility.isCompatible(9)) {
        	 pCur = ctxt.getContentResolver().query(
                     ContactsContract.Data.CONTENT_URI, 
                     null, 
                     ContactsContract.Data.CONTACT_ID + "" = ? AND "" + ContactsContract.Data.MIMETYPE + "" = ?"",
                     new String[]{id, GINGER_SIP_TYPE}, null);
             while (pCur.moveToNext()) {
                 // Could also use some other IM type but may be confusing. Are there phones with no 'custom' IM type?
            	 phones.add(new Phone(pCur.getString(pCur.getColumnIndex(ContactsContract.Data.DATA1)), ""sip""));
             }
             pCur.close();
        }

 		return(phones);
 	}","[('4', 'acquire', 'Cursor'), ('15', 'release', 'Cursor'), ('18', 'acquire', 'Cursor'), ('32', 'release', 'Cursor'), ('36', 'acquire', 'Cursor'), ('45', 'release', 'Cursor')]","[(4, 'acquire', 'pCur', 'Cursor'), (15, 'release', 'pCur', 'Cursor'), (18, 'acquire', 'pCur', 'Cursor'), (32, 'release', 'pCur', 'Cursor'), (36, 'acquire', 'pCur', 'Cursor'), (45, 'release', 'pCur', 'Cursor')]"
"	@Override
	public void onDestroy() {
		if (myLibrary != null) {
			myLibrary.deactivate();
			myLibrary = null;
		}
		super.onDestroy();
	}
","[('2', 'check', 'myLibrary')]","[(2, 'check', 'myLibrary', 'myLibrary'), (3, 'release', 'myLibrary', 'myLibrary'), (4, 'release', 'myLibrary', 'myLibrary')]"
"	@Override
	public void onDestroy() {
		if (myLibrary != null) {
			final LibraryImplementation l = myLibrary;
			myLibrary = null;
			l.deactivate();
			l.close();
		}
		super.onDestroy();
	}
","[('2', 'check', 'myLibrary'), ('6', 'release', 'l')]","[(2, 'check', 'myLibrary', 'myLibrary'), (5, 'release', 'l', 'LibraryImplementation'), (6, 'release', 'l', 'LibraryImplementation')]"
"	@Override
	protected void closeAllResources() {
	}
",[],[]
"	@Override
	protected void closeAllResources() {
		if (mOpenHelper != null)
			mOpenHelper.close();
	}
","[('2', 'check', 'mOpenHelper'), ('3', 'release', 'mOpenHelper')]","[(2, 'check', 'mOpenHelper', 'mOpenHelper'), (3, 'release', 'mOpenHelper', 'mOpenHelper')]"
"    private void releaseMediaRecorder() {
        Log.v(TAG, ""Releasing media recorder."");
        if (mMediaRecorder != null) {
            mMediaRecorder.reset();
            mMediaRecorder.release();
            mMediaRecorder = null;
        }
    }
","[('3', 'check', 'mMediaRecorder'), ('5', 'release', 'mMediaRecorder')]","[(3, 'check', 'mMediaRecorder', 'mMediaRecorder'), (4, 'release', 'mMediaRecorder', 'mMediaRecorder'), (5, 'release', 'mMediaRecorder', 'mMediaRecorder')]"
"private void releaseMediaRecorder() {
        Log.v(TAG, ""Releasing media recorder."");
        if (mMediaRecorder != null) {
            mMediaRecorder.reset();
            if (mCamera != null) {
	        	if (Integer.parseInt(Build.VERSION.SDK) >= 8)
	        		VideoCameraNew2.reconnect(mCamera);
	        	mCamera.release();
	        	mCamera = null;
            }
            mMediaRecorder.release();
            mMediaRecorder = null;
        }
    }","[('3', 'check', 'mMediaRecorder'), ('5', 'check', 'mCamera'), ('7', 'acquire', 'mCamera'), ('8', 'release', 'mCamera'), ('11', 'release', 'mMediaRecorder')]","[(3, 'check', 'mMediaRecorder', 'mMediaRecorder'), (4, 'release', 'mMediaRecorder', 'mMediaRecorder'), (5, 'check', 'mCamera', 'mCamera'), (8, 'release', 'mCamera', 'mCamera'), (11, 'release', 'mMediaRecorder', 'mMediaRecorder')]"
"
    public void onDestroy() {
        super.onDestroy();
        ((LocationManager)getSystemService(Context.LOCATION_SERVICE))
                .removeUpdates(new DeviceLocationListener());
    }","[('5', 'acquire', 'DeviceLocationListener')]","[(4, 'release', 'LocationManager', 'LocationManager')]"
"    public void onPause() {
        super.onPause();
        locListener.stop();
    }
    public void onDestroy() {
        super.onDestroy();
        locListener.stop();
    }","[('3', 'release', 'locListener')]",[]
" @Override
 protected void onDestroy() {
  super.onDestroy();

  getLocationManager().removeUpdates(mLocationListener);

  if (this.mDoGPSRecordingAndContributing) {
   OSMUploader.uploadAsync(this.mRouteRecorder.getRecordedGeoPoints());
  }

 }",[],"[(4, 'release', 'mLocationListener', 'mLocationListener')]"
"	@Override
	protected void onPause() {
		getLocationManager().removeUpdates(mLocationListener);

		if (this.mDoGPSRecordingAndContributing) {
			OSMUploader.uploadAsync(this.mRouteRecorder.getRecordedGeoPoints());
		}

		super.onResume();
	}
",[],[]
"                @Override
                public void surfaceDestroyed(SurfaceHolder surfaceHolder) {

                }
",[],[]
"                @Override
                public void surfaceDestroyed(SurfaceHolder surfaceHolder) {
                    if(player != null) {
                        player.stop();
                        player.release();
                        player = null;
                    }
                }
","[('2', 'check', 'player'), ('4', 'release', 'player')]","[(2, 'check', 'player', 'player'), (4, 'release', 'player', 'player')]"
"                 @Override
                public void surfaceDestroyed(SurfaceHolder surfaceHolder) {
                    if(player != null) {
                        player.stop();

                        player.release();
                        player = null;
                    }
                }",[],"[(2, 'check', 'player', 'player'), (5, 'release', 'player', 'player')]"
